snapshot_date,team,group,prob_win_group,prob_runner_up,prob_reach_round_of_32,prob_reach_quarterfinals,prob_reach_semifinals,prob_reach_final,prob_champion
2026-06-13,Argentina,Group J,0.6108,0.2399,0.9408,0.4503,0.3028,0.1857,0.1139
2026-06-13,Spain,Group H,0.6575,0.2256,0.9554,0.4143,0.2742,0.1683,0.1
2026-06-13,Germany,Group E,0.5436,0.2845,0.9508,0.3998,0.2478,0.1477,0.0852
2026-06-13,Brazil,Group C,0.5269,0.3155,0.9434,0.3913,0.2405,0.1428,0.0816
2026-06-13,England,Group L,0.596,0.2765,0.9565,0.3935,0.2337,0.1397,0.0799
2026-06-13,France,Group I,0.5335,0.2807,0.9257,0.3761,0.2325,0.1385,0.0795
2026-06-13,Belgium,Group G,0.5818,0.2601,0.9425,0.3802,0.2017,0.1035,0.0509
2026-06-13,Portugal,Group K,0.504,0.3166,0.9258,0.3546,0.1982,0.0997,0.0492
2026-06-13,Japan,Group F,0.4597,0.3176,0.9008,0.2881,0.1561,0.0807,0.0402
2026-06-13,Colombia,Group K,0.3594,0.3607,0.8695,0.3073,0.1656,0.0833,0.04
2026-06-13,Ecuador,Group E,0.294,0.3797,0.8857,0.2837,0.1518,0.0781,0.0376
2026-06-13,Netherlands,Group F,0.3801,0.3379,0.8644,0.2614,0.1369,0.0701,0.0343
2026-06-13,Mexico,Group A,0.5377,0.343,0.9823,0.3408,0.1482,0.0686,0.0287
2026-06-13,Morocco,Group C,0.3536,0.377,0.8769,0.2359,0.1087,0.05,0.0219
2026-06-13,United States,Group D,0.413,0.3331,0.9411,0.2417,0.1057,0.0431,0.0166
2026-06-13,Norway,Group I,0.2806,0.3483,0.8094,0.1781,0.0847,0.0381,0.0161
2026-06-13,Türkiye,Group D,0.3389,0.2992,0.8022,0.2156,0.0962,0.04,0.0159
2026-06-13,South Korea,Group A,0.4093,0.4474,0.9505,0.224,0.0858,0.0339,0.0126
2026-06-13,Iran,Group G,0.2577,0.3682,0.809,0.1919,0.0818,0.0327,0.0124
2026-06-13,Switzerland,Group B,0.5619,0.2445,0.9227,0.2222,0.0907,0.0342,0.0123
2026-06-13,Croatia,Group L,0.2832,0.4085,0.8514,0.1826,0.078,0.0305,0.0111
2026-06-13,Uruguay,Group H,0.1939,0.3797,0.7597,0.1537,0.0687,0.0267,0.0095
2026-06-13,Algeria,Group J,0.1482,0.2826,0.6356,0.1163,0.0495,0.0183,0.0069
2026-06-13,Senegal,Group I,0.1378,0.2488,0.6121,0.1133,0.0462,0.0179,0.0064
2026-06-13,Canada,Group B,0.2682,0.3814,0.8211,0.1613,0.0568,0.0198,0.0063
2026-06-13,Australia,Group D,0.2117,0.265,0.686,0.1164,0.0443,0.0154,0.0051
2026-06-13,Ivory Coast,Group E,0.1504,0.2851,0.7436,0.1167,0.0423,0.0152,0.005
2026-06-13,Austria,Group J,0.173,0.3082,0.6857,0.1153,0.0439,0.0141,0.0044
2026-06-13,Sweden,Group F,0.097,0.2009,0.5251,0.0681,0.0246,0.0083,0.0025
2026-06-13,Paraguay,Group D,0.0364,0.1027,0.3035,0.0507,0.0205,0.0073,0.0024
2026-06-13,Egypt,Group G,0.1264,0.2582,0.61,0.0862,0.0279,0.0079,0.0022
2026-06-13,Czechia,Group A,0.0376,0.1273,0.473,0.074,0.0232,0.0074,0.0021
2026-06-13,Uzbekistan,Group K,0.0859,0.1933,0.4955,0.061,0.0193,0.0056,0.0015
2026-06-13,Scotland,Group C,0.0864,0.2013,0.5301,0.0524,0.015,0.0044,0.0011
2026-06-13,Panama,Group L,0.0924,0.2089,0.5421,0.0518,0.0146,0.0036,0.0008
2026-06-13,Jordan,Group J,0.068,0.1693,0.3978,0.0374,0.0107,0.0026,0.0006
2026-06-13,South Africa,Group A,0.0154,0.0823,0.2741,0.033,0.0089,0.0024,0.0006
2026-06-13,Saudi Arabia,Group H,0.0858,0.2233,0.5064,0.0448,0.0126,0.0029,0.0006
2026-06-13,Tunisia,Group F,0.0632,0.1436,0.3814,0.0291,0.0081,0.0021,0.0005
2026-06-13,Bosnia-Herzegovina,Group B,0.124,0.2599,0.6499,0.0469,0.0103,0.0022,0.0004
2026-06-13,Congo DR,Group K,0.0507,0.1294,0.3485,0.0249,0.006,0.0013,0.0003
2026-06-13,Iraq,Group I,0.0481,0.1222,0.3247,0.0226,0.0054,0.0012,0.0002
2026-06-13,Ghana,Group L,0.0284,0.1061,0.2878,0.0183,0.0042,0.0008,0.0002
2026-06-13,Cape Verde,Group H,0.0628,0.1714,0.403,0.0214,0.0047,0.0009,0.0002
2026-06-13,Haiti,Group C,0.0331,0.1062,0.2839,0.0198,0.0049,0.0012,0.0002
2026-06-13,New Zealand,Group G,0.0341,0.1135,0.2837,0.0171,0.0036,0.0007,0.0001
2026-06-13,Qatar,Group B,0.0459,0.1142,0.2868,0.0086,0.0013,0.0002,0.0
2026-06-13,Curaçao,Group E,0.012,0.0507,0.1421,0.0053,0.001,0.0002,0.0
